2025-10-18 23:22:29,254 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:29,355 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:29,455 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:29,557 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:29,658 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:29,759 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:29,861 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:29,962 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:30,062 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:30,163 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:30,264 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:22:30,365 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:17,543 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:17,644 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:17,752 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:17,856 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:17,956 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:18,057 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:18,159 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:18,279 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:18,381 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:18,482 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:18,583 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:18,683 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:18,784 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:18,885 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:18,985 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:19,086 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:19,186 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:19,287 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:19,536 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:19,637 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:19,738 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:19,841 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:19,943 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:20,045 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:20,145 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:20,246 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:20,347 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:20,449 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:20,549 | WARNING | collector | Kare alınamadı. 100ms bekle.
