bucket_start,cnt,avg,min,max
2025-10-18 18:09:00,1,0.0,0.0,0.0
2025-10-18 18:10:00,3,0.0,0.0,0.0
2025-10-18 18:11:00,8,1079.25,0.0,8606.0
2025-10-18 18:12:00,6,5.666666666666667,1.0,8.0
2025-10-18 18:13:00,12,3.5,1.0,7.0
2025-10-18 18:14:00,9,962.3333333333334,1.0,8636.0
2025-10-18 18:15:00,32,24.8715625,0.0,240.0
2025-10-18 18:16:00,50,2148.217,0.0,94302.0
2025-10-18 18:17:00,16,2.255,2.18,2.33
